PN,Mfr,Category,SubCategory,KeySpecs,Applications,TargetCustomers,AltParts,DemandRegion,SupplyInfo,Notes,Status,FAQ,Keywords,Image,Source
STM32F103C8T6,STMicroelectronics,Microcontroller,MCU,"32-bit ARM Cortex-M3, 72MHz, 64KB Flash, 20KB RAM, LQFP48","Consumer electronics, IoT nodes, motor control, industrial sensors","OEMs, makers, contract manufacturers",STM32F103CBT6;GD32F103C8T6,North America;Europe,"Supply Source: China Shenzhen electronics supply chain; MOQ: Based on supplier availability; Lead Time: Confirm before order","Popular entry-level Cortex-M3; ample open-source tooling.",active,"Q: Where can I buy STM32F103C8T6 from China?A: SZ Procure helps global buyers source STM32 components from Shenzhen suppliers. Send the part number and quantity for a quote.;Q: What is a drop-in alternative to STM32F103C8T6?A: GD32F103C8T6 is a common pin-compatible alternative; STM32F103CBT6 offers more flash in the same family.","stm32f103c8t6,stm32,arm cortex-m3,mcu, microcontroller",/assets/img/mcu.svg,https://www.ickey.cn
AMS1117-3.3,Advanced Monolithic Systems,Voltage Regulator,LDO,"3.3V fixed LDO, 1A output, dropout 1.3V, SOT-223","Power supplies, battery chargers, logic-level regulation","Power module makers, hobbyists",LM1117-3.3;LD1117V33,Global,"Supply Source: China Shenzhen electronics supply chain; MOQ: Based on supplier availability; Lead Time: Confirm before order","Widely cloned; verify genuine stock for stable dropout.",active,"Q: Where can I source AMS1117-3.3 from China?A: SZ Procure sources AMS1117-3.3 LDO regulators from Shenzhen suppliers. Send quantity and target price for a quote.;Q: What replaces AMS1117-3.3?A: LM1117-3.3 and LD1117V33 are common equivalents with similar specs.","ams1117-3.3,ldo,voltage regulator,3.3v,linear regulator",/assets/img/ldo.svg,https://www.ickey.cn
LM358DR,Texas Instruments,Operational Amplifier,Analog IC,"Dual op-amp, 0.7MHz GBW, 3-32V supply, SOIC-8","Signal conditioning, sensor buffers, low-frequency filters","Test equipment, audio, industrial",LMV358;MC33078,North America;Asia,"Supply Source: China Shenzhen electronics supply chain; MOQ: Based on supplier availability; Lead Time: Confirm before order","Legacy dual op-amp; cheap and ubiquitous.",active,"Q: Where can I buy LM358 from China?A: SZ Procure helps overseas buyers source LM358 op-amps from Shenzhen. Request a quote with quantity.;Q: What is equivalent to LM358?A: LMV358 (single-supply) and MC33078 are common alternates depending on application.","lm358,op-amp,operational amplifier,dual op amp,analog ic",/assets/img/opamp.svg,https://www.ickey.cn
IRF540N,Infineon,Power MOSFET,Power IC,"N-channel, 100V, 33A, Rds(on) 44mOhm, TO-220","DC-DC, motor drives, switching supplies","Power supply makers, EV converters",IRF540NS;STP55NF06,North America;Europe,"Supply Source: China Shenzhen electronics supply chain; MOQ: Based on supplier availability; Lead Time: Confirm before order","Common hexfet; watch gate charge for fast switching.",active,"Q: Where can I source IRF540N from China?A: SZ Procure sources IRF540N MOSFETs from Shenzhen suppliers. Send your BOM for a quote.;Q: What replaces IRF540N?A: IRF540NS and STP55NF06 are common pin/voltage-compatible alternates.","irf540n,mosfet,power mosfet,n-channel,to-220",/assets/img/mosfet.svg,https://www.ickey.cn
10K0W0805,Yageo,Resistor,Passive,"10kOhm, 1%, 0.125W, 0805 thick-film","Pull-ups, dividers, general bias","PCB assemblers, EMS",RC0805FR-0710KL;ERJ-6ENF1002V,Global,"Supply Source: China Shenzhen electronics supply chain; MOQ: Based on supplier availability; Lead Time: Confirm before order","Generic 0805; multiple second sources.",active,"Q: Where can I buy 10k 0805 resistor from China?A: SZ Procure sources Yageo and equivalent 0805 resistors from Shenzhen. Send quantity for pricing.;Q: What replaces Yageo 10K0W0805?A: RC0805FR-0710KL and ERJ-6ENF1002V are common equivalent 10k 1% 0805 resistors.","10k resistor,0805,thick film,yageo,passive",/assets/img/resistor.svg,https://www.ickey.cn
100uF25V,Chengxing Capacitor,Electrolytic Capacitor,Passive,"100uF, 25V, aluminum electrolytic, radial","Power filtering, decoupling","Power supply, consumer","-",Asia,"Supply Source: China Shenzhen electronics supply chain; MOQ: Based on supplier availability; Lead Time: Confirm before order","Local-brand cap; check ESR/ripple rating.",active,"Q: Where can I source 100uF 25V capacitor from China?A: SZ Procure sources electrolytic capacitors from Shenzhen suppliers. Send quantity and voltage rating for a quote.","100uf 25v,electrolytic capacitor,aluminum,power filtering",/assets/img/capacitor.svg,https://www.ickey.cn
1N4148WS,Onsemi,Rectifier Diode,Passive,"Fast switching 75V, 300mA, SOD-323","Signal clipping, protection, logic","Consumer, telecom",1N4148;BAW56,North America;Asia,"Supply Source: China Shenzhen electronics supply chain; MOQ: Based on supplier availability; Lead Time: Confirm before order","Standard fast signal diode.",active,"Q: Where can I buy 1N4148 diode from China?A: SZ Procure sources 1N4148 and 1N4148WS diodes from Shenzhen. Send quantity for a quote.;Q: What replaces 1N4148WS?A: 1N4148 and BAW56 (dual) are common equivalents in different packages.","1n4148,diode,rectifier,fast switching,sod-323",/assets/img/diode.svg,https://www.ickey.cn
8MHzHC49,Abracon,Crystal Oscillator,Passive,"8.000MHz, +/-20ppm, 18pF load, HC-49/US","MCU clock, timing reference","Embedded, industrial",7M-8.000MEEQ;NX5032GA,Europe;Asia,"Supply Source: China Shenzhen electronics supply chain; MOQ: Based on supplier availability; Lead Time: Confirm before order","Through-hole crystal; verify load caps.",active,"Q: Where can I source 8MHz crystal from China?A: SZ Procure sources Abracon and equivalent 8MHz crystals from Shenzhen. Send quantity for pricing.;Q: What replaces 8MHzHC49?A: 7M-8.000MEEQ and NX5032GA are common 8MHz equivalents in different packages.","8mhz,crystal,oscillator,hc-49,timing",/assets/img/crystal.svg,https://www.ickey.cn
PZ254-2X4P,Bojue Electronics,Pin Header,Connector,"2.54mm pitch, 2x4, 8-pin male, gold flash","Board-to-board, programming, expansion","Makers, module makers",PZ254-2X4;PH-2X4,North America;Asia,"Supply Source: China Shenzhen electronics supply chain; MOQ: Based on supplier availability; Lead Time: Confirm before order","Generic 2.54mm header; many clones.",active,"Q: Where can I buy 2.54mm pin header from China?A: SZ Procure sources PZ254 and equivalent 2.54mm headers from Shenzhen. Send quantity for a quote.;Q: What replaces PZ254-2X4P?A: PZ254-2X4 and PH-2X4 are common equivalent 2x4 2.54mm headers.","2.54mm,pin header,connector,8-pin,male header",/assets/img/connector.svg,https://www.ickey.cn
MPU6050,TDK InvenSense,MEMS Sensor,Sensor,"6-axis gyro+accel, I2C, QFN-24","Drones, motion tracking, balancing","Robotics, consumer IoT",ICM-20602;LSM6DS3,Global,"Supply Source: China Shenzhen electronics supply chain; MOQ: Based on supplier availability; Lead Time: Confirm before order","Popular IMU; EOL risk on some variants.",active,"Q: Where can I source MPU6050 from China?A: SZ Procure sources MPU6050 IMU modules from Shenzhen suppliers. Send quantity for a quote.;Q: What replaces MPU6050?A: ICM-20602 and LSM6DS3 are common 6-axis IMU alternates with similar interfaces.","mpu6050,imu,gyroscope,accelerometer,mems,sensor",/assets/img/sensor.svg,https://www.ickey.cn
